knot,crossings,s_ub,exact_s,e_ub,e_ub_minus_s_ub,source_sticks,input_status,e_status
K11a54,11,11,,12,1,11,unchecked,reported_only
K11a55,11,11,,,,11,unchecked,none
K11a56,11,11,,,,11,unchecked,none
K11a57,11,11,,,,11,unchecked,none
K11a58,11,11,,,,11,matched,none
K11a59,11,12,,,,12,unchecked,none
K11a6,11,11,,,,11,unchecked,none
K11a60,11,11,,,,11,unchecked,none
K11a61,11,11,,,,11,matched,none
K11a62,11,11,,,,11,unchecked,none
K11a63,11,11,,,,11,unchecked,none
K11a64,11,11,,,,11,unchecked,none
K11a65,11,12,,,,12,unchecked,none
K11a66,11,11,,11,0,11,matched,reported_only
K11a67,11,11,,,,11,unchecked,none
K11a68,11,11,,,,11,unchecked,none
K11a69,11,11,,,,11,unchecked,none
K11a7,11,11,,,,11,unchecked,none
K11a70,11,11,,12,1,11,matched,reported_only
